iter	Passed	Remaining
298	5208	3501
299	5225	3483
300	5243	3466
301	5258	3447
302	5275	3429
303	5294	3413
304	5313	3396
305	5330	3379
306	5347	3361
307	5365	3344
308	5382	3327
309	5401	3310
310	5415	3291
311	5432	3273
312	5450	3256
313	5468	3239
314	5486	3221
315	5501	3203
316	5516	3184
317	5532	3166
318	5549	3148
319	5565	3130
320	5582	3113
321	5599	3095
322	5615	3077
323	5632	3059
324	5649	3041
325	5664	3023
326	5681	3005
327	5697	2987
328	5714	2970
329	5731	2952
330	5749	2935
331	5766	2918
332	5783	2900
333	5800	2882
334	5818	2865
335	5835	2848
336	5853	2831
337	5871	2814
338	5885	2795
339	5900	2776
340	5919	2760
341	5935	2742
342	5949	2723
343	5966	2705
344	5984	2688
345	6001	2671
346	6017	2653
347	6033	2635
348	6051	2618
349	6067	2600
350	6084	2583
351	6099	2564
352	6115	2546
353	6133	2529
354	6147	2510
355	6164	2493
356	6180	2475
357	6197	2458
358	6215	2441
359	6230	2423
360	6247	2405
361	6265	2388
362	6284	2371
363	6301	2354
364	6318	2337
365	6336	2319
366	6350	2301
367	6370	2285
368	6387	2267
369	6407	2251
370	6426	2234
371	6444	2217
372	6462	2200
373	6482	2183
374	6500	2166
375	6516	2148
376	6533	2131
377	6550	2114
378	6567	2096
379	6582	2078
380	6599	2061
381	6619	2044
382	6638	2028
383	6659	2011
384	6676	1994
385	6695	1977
386	6714	1960
387	6733	1943
388	6749	1925
389	6768	1909
390	6787	1892
391	6805	1874
392	6821	1857
393	6839	1840
394	6858	1823
395	6875	1805
396	6892	1788
397	6923	1774
398	6951	1759
399	6969	1742
400	6985	1724
401	7004	1707
402	7019	1689
403	7039	1672
404	7056	1655
405	7072	1637
406	7089	1619
407	7106	1602
408	7124	1585
409	7142	1567
410	7157	1549
411	7174	1532
412	7193	1515
413	7211	1497
414	7229	1480
415	7245	1463
416	7264	1445
417	7281	1428
418	7298	1410
419	7314	1393
420	7331	1375
421	7346	1357
422	7362	1340
423	7379	1322
424	7396	1305
425	7410	1287
426	7427	1269
427	7444	1252
428	7462	1235
429	7480	1217
430	7497	1200
431	7511	1182
432	7528	1164
433	7545	1147
434	7561	1129
435	7579	1112
436	7595	1095
437	7612	1077
438	7630	1060
439	7649	1043
440	7667	1025
441	7684	1008
442	7701	990
443	7719	973
444	7734	955
445	7749	938
446	7764	920
447	7782	903
448	7797	885
449	7814	868
450	7830	850
451	7848	833
452	7865	816
453	7880	798
454	7895	780
455	7911	763
456	7928	745
457	7945	728
458	7963	711
459	7980	693
460	7997	676
461	8013	659
462	8027	641
463	8045	624
464	8062	606
465	8082	589
466	8098	572
467	8115	554
468	8131	537
469	8149	520
470	8168	502
471	8187	485
472	8203	468
473	8217	450
474	8234	433
475	8251	416
476	8266	398
477	8284	381
478	8300	363
479	8316	346
480	8335	329
481	8352	311
482	8367	294
483	8385	277
484	8403	259
485	8422	242
486	8439	225
487	8460	208
488	8479	190
489	8502	173
490	8521	156
491	8541	138
492	8556	121
493	8574	104
494	8590	86
495	8608	69
496	8626	52
497	8643	34
498	8663	17
499	8679	0
