iter	Logloss
188	0.2371232101
189	0.2369178404
190	0.2367098305
191	0.2365815974
192	0.2364336744
193	0.2359847648
194	0.2356985794
195	0.2353832567
196	0.2348288559
197	0.2346044923
198	0.2341643776
199	0.2339570136
200	0.233605156
201	0.2333899443
202	0.2331706032
203	0.2329350759
204	0.2325076122
205	0.232292259
206	0.2321039031
207	0.2319380759
208	0.2315254306
209	0.2312213139
210	0.2306320315
211	0.2304408101
212	0.2300743902
213	0.2299171134
214	0.2297029885
215	0.2295046072
216	0.2293599373
217	0.2291271429
218	0.228705638
219	0.228478755
220	0.2282337662
221	0.2280180854
222	0.2278365731
223	0.2276695888
224	0.2272491177
225	0.22705378
226	0.2268338868
227	0.2265654281
228	0.2264082857
229	0.2261948901
230	0.2260165519
231	0.2257820811
232	0.2253040551
233	0.2251050289
234	0.224851815
235	0.2246121794
236	0.2243936001
237	0.2240398334
238	0.2238547771
239	0.2236303268
240	0.2233403932
241	0.222991661
242	0.2227177638
243	0.2225032068
244	0.2222724231
245	0.2221169714
246	0.2216928693
247	0.2214214307
248	0.2212547765
249	0.2210421008
250	0.2208657849
251	0.2206000513
252	0.2204859838
253	0.2200769041
254	0.2199301191
255	0.2195838344
256	0.2194539694
257	0.2192002115
258	0.2189829497
259	0.2187279857
260	0.2184728371
261	0.218248234
262	0.2180458639
263	0.2177405947
264	0.2175219125
265	0.2173390012
266	0.2170999673
267	0.2167178034
268	0.2165541903
269	0.216290868
270	0.2160868569
271	0.2158599962
272	0.2154826885
273	0.2153016022
274	0.2151358439
275	0.2149464934
276	0.2148224957
277	0.2145960141
278	0.2144841984
279	0.2142874599
280	0.2140505071
281	0.2137190575
282	0.2135730104
283	0.2133237261
284	0.2131168127
285	0.2129819397
286	0.2127415293
287	0.2124055762
288	0.2120997954
289	0.2119415351
290	0.2117657489
291	0.2116754601
292	0.2114352089
293	0.2112411686
294	0.2109614171
295	0.2108182308
296	0.2104795611
297	0.2103052109
298	0.2101779058
299	0.2100106347
300	0.2098521942
301	0.2097219528
302	0.2094994681
303	0.2093842337
304	0.2090813615
305	0.2089133642
306	0.2087301661
307	0.2085133094
308	0.2083914003
309	0.2082258281
310	0.2080821554
311	0.2079368888
312	0.2077171306
313	0.2074833656
314	0.2073459646
315	0.2072097572
316	0.2070631759
317	0.2068830429
318	0.2068260047
319	0.206637157
320	0.2064824219
321	0.2063621959
322	0.2061287619
323	0.2058819347
324	0.2057758093
325	0.2056570602
326	0.2054999779
327	0.205315257
328	0.2051004112
329	0.2049584127
330	0.2047637223
331	0.2046323634
332	0.204472058
333	0.2043224948
334	0.2041911242
335	0.2040723396
336	0.2038998784
337	0.2037152073
338	0.2035164257
339	0.2033082953
340	0.2030739998
341	0.2027604122
342	0.2026255788
343	0.2025282068
344	0.2022799064
345	0.2020594864
346	0.2018316406
347	0.2017046142
348	0.2014239103
349	0.2013258415
350	0.2011969881
351	0.2010217616
352	0.2007737277
353	0.2005156443
354	0.2003103008
355	0.2000579903
356	0.1999155633
357	0.1996778199
358	0.1995424065
359	0.1994063582
360	0.1992204377
361	0.1989891329
362	0.1987835465
363	0.1986407799
364	0.1985002844
365	0.1983972321
366	0.1982100489
367	0.1980048263
368	0.1977707849
369	0.1976713738
370	0.1974734999
371	0.1973086838
372	0.1971333943
373	0.1969560288
374	0.1967972785
375	0.1967495503
376	0.1965453532
377	0.1964310894
378	0.1961894639
379	0.1960350805
380	0.1959119772
381	0.1958140283
382	0.1955906533
383	0.1954753408
384	0.1954259835
385	0.1952839552
386	0.195081705
387	0.1949886035
388	0.1948880041
389	0.1947344106
390	0.1945628494
391	0.1943513723
392	0.1941753272
393	0.1940630334
394	0.193932356
395	0.1937959308
396	0.1936538439
397	0.1935501932
398	0.1934302543
399	0.1932077174
400	0.1930266444
401	0.1928043936
402	0.1926511093
403	0.1925319504
404	0.1923786961
405	0.1922791391
406	0.1921556573
407	0.191955669
408	0.1918136162
409	0.1916475398
410	0.1914766893
411	0.1913385858
412	0.1912137691
413	0.1911124029
414	0.1909704712
415	0.1907937437
416	0.1906372679
417	0.1905118906
418	0.1904622771
419	0.1903198682
420	0.1901613511
421	0.1899748022
422	0.189805683
423	0.1896818043
424	0.1896299654
425	0.1894297965
426	0.1892873023
427	0.1890423812
428	0.188819671
429	0.1887109811
430	0.1885425719
431	0.1883387375
432	0.1882020519
433	0.1880568837
434	0.1879559274
435	0.1877411118
436	0.1876461792
437	0.1874952043
438	0.1874211823
439	0.1873055554
440	0.1871590851
441	0.1870464645
442	0.1868967097
443	0.1868196604
444	0.1866877542
445	0.1865614049
446	0.1865138227
447	0.1863703394
448	0.1861993199
449	0.186025257
450	0.1858763262
451	0.1857657354
452	0.1856069963
453	0.1854152932
454	0.1852635231
455	0.1851215262
456	0.1849353042
457	0.1848307539
458	0.1847074833
459	0.1846383708
460	0.1845532553
461	0.1843485681
462	0.1842024074
463	0.1840563934
464	0.1839696644
465	0.1838447969
466	0.183698751
467	0.1836620661
468	0.1834811458
469	0.1833417166
470	0.1832630337
471	0.183142847
472	0.1830106739
473	0.1829145616
474	0.1828121057
475	0.1826715002
476	0.1825321245
477	0.182409344
478	0.182280419
479	0.1820074236
480	0.1818573756
481	0.1817757694
482	0.1816526949
483	0.1814943931
484	0.1813350835
485	0.1812506659
486	0.1811320317
487	0.1810516343
488	0.1809685158
489	0.1808408387
490	0.1806719284
491	0.1805248743
492	0.1803073011
493	0.1801466914
494	0.1800132248
495	0.1798594153
496	0.1796880041
497	0.1795753634
498	0.1793895063
499	0.1792951468
